Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_378.jpg;-2.414512;0;0;0;100.4851;85.96935;0.0002348666;261.3196;5.29844E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_419.jpg;0;0;0;0;100.4851;85.96935;0.0002345005;261.3196;5.216728E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_462.jpg;0;0;0;0;100.4851;85.96935;0.0002341708;261.3196;5.087129E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_507.jpg;2.588661;0;0;0;100.4851;85.96935;0.0002332117;261.6302;4.766632E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_550.jpg;5.23308;0;0;0;100.4851;85.96935;0.0002341682;262.2582;4.23854E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_594.jpg;7.803677;0;0;0;100.4851;85.96935;0.0002333192;263.1946;3.526816E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_638.jpg;10.48989;0;0;0;100.4851;85.96935;0.0002337351;265.0828;2.457875E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_680.jpg;13.07861;0;0;0;100.4851;85.96935;0.0002344286;266.6522;1.572186E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_723.jpg;15;0;0;0;100.4851;85.96935;0.0002342962;268.4522;6.371183E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_764.jpg;15;0;0;0;100.4851;85.96935;0.0002339303;270.2523;-1.949761E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_807.jpg;15;0;0;0;100.4851;85.96935;0.0002335778;272.0522;-1.006359E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_848.jpg;12.40033;0;0;0;100.4851;85.96935;0.0002335853;273.5403;-1.489648E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_889.jpg;14.83596;0;0;0;100.4851;85.96935;0.0002321079;275.3206;-2.173808E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_932.jpg;15;0;0;0;100.4851;85.96935;0.000231332;277.1206;-2.846765E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_48_973.jpg;15;0;0;0;100.4851;85.96935;0.0002303674;278.9206;-3.287585E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_015.jpg;15;0;0;0;100.4851;85.96935;0.0002286972;280.7206;-3.706004E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_094.jpg;10.07776;0;0;0;100.4851;85.96935;0.0002269919;283.4268;-4.165818E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_136.jpg;7.758851;0;0;0;100.4851;85.96935;0.0002262935;284.3578;-4.202927E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_214.jpg;2.90173;0;0;0;100.4851;85.96935;0.0002256335;285.3381;-3.89359E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_254.jpg;0.5929604;0;0;0;100.4851;85.96935;0.0002272929;285.4093;-3.459155E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_332.jpg;-4.206811;0;0;0;100.4851;85.96935;0.0002294604;284.6861;-2.30059E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_373.jpg;-6.537418;0;0;0;100.4851;85.96935;0.0002301341;283.9016;-1.450981E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_452.jpg;-6.744334;0;0;0;100.4851;85.96935;0.0002315859;282.0156;8.103136E-08
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_535.jpg;-1.96201;0;0;0;100.4851;85.96935;0.0002334336;281.2685;9.504694E-06
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_612.jpg;0;0;0;0;100.4851;85.96935;0.0002338946;281.2685;1.417776E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_653.jpg;0;0;0;0;100.4851;85.96935;0.0002340007;281.2685;1.52531E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_732.jpg;0;0;0;0;100.4851;85.96935;0.0002341618;281.2685;1.688602E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_810.jpg;-0.03317736;0;0;0;100.4851;85.96935;0.0002331804;280.9764;1.888358E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_850.jpg;0;0;0;0;100.4851;85.96935;0.0002327669;280.9764;1.904392E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_928.jpg;0;0;0;0;100.4851;85.96935;0.0002323114;280.9764;1.876606E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_49_970.jpg;0;0;0;0;100.4851;85.96935;0.0002322706;280.9764;1.834112E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_048.jpg;-2.371507;0;0;0;100.4851;85.96935;0.0002332151;280.6919;1.805105E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_089.jpg;-0.01511313;0;0;0;100.4851;85.96935;0.0002341997;280.6901;1.712456E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_168.jpg;-0.2135362;0;0;0;100.4851;85.96935;0.0002346339;280.3656;1.603171E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_248.jpg;-0.3213052;0;0;0;100.4851;85.96935;0.0002357697;280.0086;1.563492E-05
C:\Users\Tawfik\Desktop\IMG\robocam_2020_11_06_05_28_50_289.jpg;0;0;0;0;100.4851;85.96935;0.0002356731;280.0086;1.45319E-05
